basisOfRecord,catalogNumber,collectionCode,country,eventDate,extraction_method,image,institutionCode,locality,ocr_confidence,ocr_engine,recordedBy,scientificName,specimen_id,stateProvince
PreservedSpecimen,40003,,Canada,2000,simple,0284dfa2583a35de4b334616b136368105bf04a99b476b693be208709890ab38.jpg,,,0.968,vision,,In trailside,0284dfa2583a35de4b334616b136368105bf04a99b476b693be208709890ab38,Saskatchewan
PreservedSpecimen,,,,,simple,02a4aaf15a734a2f7f533b0f92eccc4ba3b151052aa3ed773bc514718f619d63.jpg,,,1.0,vision,,,02a4aaf15a734a2f7f533b0f92eccc4ba3b151052aa3ed773bc514718f619d63,
PreservedSpecimen,601,REGINA,Canada,1947,simple,02c4187707984ab981ffd6c8f3425b1ffcfa9d8993d68b9f64f2deb5274b1c7b.jpg,AAFC,,0.98,vision,,Solidago pruinosa,02c4187707984ab981ffd6c8f3425b1ffcfa9d8993d68b9f64f2deb5274b1c7b,Saskatchewan
PreservedSpecimen,,REGINA,Canada,0611,simple,02d2c89ed4f29ad56abdf1861061e4a6248a4b8c402732048c41f9b91b0e7966.jpg,AAFC,,1.0,vision,,Stages in,02d2c89ed4f29ad56abdf1861061e4a6248a4b8c402732048c41f9b91b0e7966,Saskatchewan
PreservedSpecimen,,REGINA,Canada,,simple,02e2ad0cffa908c8e25a0ba311d699df37a2b7bf099f0dea915b154ee958e43b.jpg,AAFC,,0.859,vision,,Identified by,02e2ad0cffa908c8e25a0ba311d699df37a2b7bf099f0dea915b154ee958e43b,Saskatchewan
PreservedSpecimen,,,,,simple,02e67f6597e4a014c1228117d3674a13b9d0251bd6c0083806138cbe5dd829b6.jpg,,,1.0,vision,,,02e67f6597e4a014c1228117d3674a13b9d0251bd6c0083806138cbe5dd829b6,
PreservedSpecimen,,REGINA,Canada,,simple,031a66d7ad40d99bf6807a61b5f1579b9e667858e7349b1ce21002ef2b338da9.jpg,AAFC,,0.969,vision,,Calfbrite colorchecker,031a66d7ad40d99bf6807a61b5f1579b9e667858e7349b1ce21002ef2b338da9,Saskatchewan
PreservedSpecimen,1079,,Canada,2802,simple,0326f6b5be31d1a275a81e8781ce0cee2af6f3e97f459a6730a9aa66ec6855cc.jpg,,,1.0,vision,,Tactuce scariola,0326f6b5be31d1a275a81e8781ce0cee2af6f3e97f459a6730a9aa66ec6855cc,Saskatchewan
PreservedSpecimen,,REGINA,Canada,1984,simple,033617d5a4c07b0d5bdac78c50be814c683136321c5cd72d0b779e1e0b76f2a1.jpg,AAFC,,0.869,vision,,Checked by,033617d5a4c07b0d5bdac78c50be814c683136321c5cd72d0b779e1e0b76f2a1,Saskatchewan
PreservedSpecimen,,,,,simple,033b319d3b6e5a80dcee3305637ba973b0bd230450a4a504befad9ac75f13f6f.jpg,,,1.0,vision,,,033b319d3b6e5a80dcee3305637ba973b0bd230450a4a504befad9ac75f13f6f,
PreservedSpecimen,,,Canada,"Aug. 11, 1959",simple,035a65b0a3dc72348af5c629ec471748f888295845dfe80a7cfc576aabdf56cd.jpg,,,1.0,vision,T.V. Beck.,Sonchus asper,035a65b0a3dc72348af5c629ec471748f888295845dfe80a7cfc576aabdf56cd,Saskatchewan
PreservedSpecimen,,REGINA,Canada,,simple,03759016798c61d147c0e8c2849508dbb9502be381410bfe26e4fb104240152f.jpg,AAFC,,0.854,vision,,Pathocen dentified,03759016798c61d147c0e8c2849508dbb9502be381410bfe26e4fb104240152f,Saskatchewan
PreservedSpecimen,3066,REGINA,Canada,3044,simple,038804c0355b2f9cd58310ef45425785b7e21708526f842c32045c42e830906c.jpg,AAFC,,1.0,vision,,Lolium perenne,038804c0355b2f9cd58310ef45425785b7e21708526f842c32045c42e830906c,Saskatchewan
PreservedSpecimen,,,Canada,2805,simple,038820359f34cd7173fee15853287c0ddffe9ffb7cb2cf40e7f13cd6d70e02eb.jpg,,,0.946,vision,,Willnest lahe,038820359f34cd7173fee15853287c0ddffe9ffb7cb2cf40e7f13cd6d70e02eb,Saskatchewan
PreservedSpecimen,,,,,simple,038eefdc0d7319cd25a1222b3178ec408f0cedafb1d7ca98ac67bcf7dec54336.jpg,,,0.86,vision,,Tn oa,038eefdc0d7319cd25a1222b3178ec408f0cedafb1d7ca98ac67bcf7dec54336,
